Travel_From,Travel_To,Travel_Mode,Class,Price
Pune,Ahmedabad,Bus,Sleeper,6034
Chennai,Hyderabad,Train,AC 2 Tier,9237
Mumbai,Chennai,Train,AC 3 Tier,4279
Delhi,Chennai,Flight,Economy,3122
Delhi,Jaipur,Flight,Economy,3406
Bangalore,Kolkata,Flight,Business,8136
Hyderabad,Jaipur,Train,First Class,3305
Jaipur,Kolkata,Train,First Class,2977
Jaipur,Delhi,Flight,Business,9395
Mumbai,Bangalore,Flight,Business,813
Lucknow,Ahmedabad,Bus,Sleeper,1100
Lucknow,Mumbai,Bus,AC,8414
Ahmedabad,Pune,Bus,Sleeper,9284
Hyderabad,Mumbai,Flight,Economy,1683
Chennai,Mumbai,Train,First Class,6345
Bangalore,Chennai,Bus,Sleeper,6807
Chennai,Ahmedabad,Flight,Business,5498
Chennai,Bangalore,Bus,Non AC,8388
Bangalore,Jaipur,Train,First Class,6103
Kolkata,Jaipur,Flight,Business,1593
Kolkata,Pune,Train,AC 2 Tier,9851
Ahmedabad,Delhi,Bus,AC,829
Jaipur,Bangalore,Bus,Non AC,7098
Mumbai,Jaipur,Bus,Sleeper,2663
Bangalore,Lucknow,Train,AC 3 Tier,9441
Pune,Hyderabad,Flight,Business,1613
Ahmedabad,Jaipur,Flight,Business,1150
Mumbai,Kolkata,Bus,Sleeper,6808
Chennai,Lucknow,Train,Sleeper,5034
Delhi,Kolkata,Flight,Economy,6758
Ahmedabad,Jaipur,Flight,Economy,4443
Bangalore,Delhi,Train,AC 2 Tier,5246
Kolkata,Chennai,Bus,Sleeper,1623
Lucknow,Bangalore,Bus,AC,7556
Mumbai,Chennai,Flight,Economy,1584
Hyderabad,Pune,Flight,Business,5921
Ahmedabad,Chennai,Bus,Sleeper,5553
Chennai,Pune,Train,AC 3 Tier,9764
Hyderabad,Mumbai,Bus,Non AC,9450
Kolkata,Hyderabad,Flight,Business,4292
Hyderabad,Lucknow,Bus,Sleeper,6895
Ahmedabad,Chennai,Bus,Non AC,2904
Lucknow,Chennai,Train,AC 2 Tier,9994
Jaipur,Delhi,Flight,Business,6968
Delhi,Chennai,Bus,Non AC,7945
Jaipur,Pune,Bus,Non AC,1086
Bangalore,Hyderabad,Flight,Business,7063
Pune,Chennai,Bus,Non AC,3582
Kolkata,Pune,Flight,Business,7679
Pune,Lucknow,Flight,Business,2226
Lucknow,Ahmedabad,Train,AC 3 Tier,8827
Kolkata,Jaipur,Bus,Sleeper,6967
Delhi,Mumbai,Flight,Economy,2764
Jaipur,Pune,Flight,Economy,3451
Lucknow,Mumbai,Bus,Sleeper,7832
Bangalore,Pune,Flight,Economy,8014
Mumbai,Jaipur,Train,AC 3 Tier,8794
Bangalore,Chennai,Bus,Sleeper,4946
Pune,Kolkata,Flight,Economy,1507
Jaipur,Pune,Bus,Sleeper,8020
Mumbai,Bangalore,Train,First Class,5514
Kolkata,Jaipur,Train,First Class,3403
Hyderabad,Delhi,Train,AC 3 Tier,7707
Delhi,Pune,Train,First Class,7106
Bangalore,Pune,Flight,Economy,2893
Pune,Lucknow,Bus,Non AC,3898
Chennai,Mumbai,Train,First Class,2807
Delhi,Kolkata,Bus,AC,1522
Bangalore,Chennai,Train,First Class,1575
Hyderabad,Chennai,Flight,Business,9432
Chennai,Mumbai,Train,AC 2 Tier,9780
Kolkata,Mumbai,Flight,Business,805
Hyderabad,Bangalore,Bus,Non AC,3084
Lucknow,Pune,Flight,Business,2745
Lucknow,Mumbai,Train,AC 3 Tier,6656
Delhi,Bangalore,Bus,Sleeper,5357
Ahmedabad,Mumbai,Train,AC 3 Tier,2786
Kolkata,Mumbai,Bus,Non AC,9886
Lucknow,Jaipur,Train,AC 2 Tier,2150
Lucknow,Kolkata,Bus,AC,6944
Lucknow,Hyderabad,Bus,AC,4459
Jaipur,Mumbai,Train,AC 3 Tier,9350
Hyderabad,Ahmedabad,Bus,AC,2053
Chennai,Bangalore,Train,AC 2 Tier,7410
Mumbai,Pune,Bus,Sleeper,824
Ahmedabad,Hyderabad,Train,AC 3 Tier,9703
Jaipur,Delhi,Flight,Economy,9972
Kolkata,Delhi,Flight,Business,4089
Lucknow,Chennai,Bus,Sleeper,9478
Ahmedabad,Kolkata,Train,First Class,8427
Ahmedabad,Kolkata,Train,AC 3 Tier,1666
Jaipur,Mumbai,Bus,Sleeper,8824
Delhi,Hyderabad,Train,Sleeper,4245
Chennai,Pune,Bus,AC,2731
Lucknow,Pune,Flight,Economy,4009
Ahmedabad,Kolkata,Bus,AC,5215
Pune,Hyderabad,Bus,Non AC,5514
Mumbai,Chennai,Bus,AC,4321
Pune,Lucknow,Bus,AC,9423
Ahmedabad,Mumbai,Flight,Business,1415
Ahmedabad,Kolkata,Flight,Economy,1108
Delhi,Pune,Bus,Sleeper,4724
Chennai,Hyderabad,Train,AC 3 Tier,7076
Delhi,Mumbai,Flight,Business,2448
Delhi,Ahmedabad,Bus,Sleeper,5781
Bangalore,Kolkata,Bus,Sleeper,2424
Delhi,Mumbai,Train,Sleeper,6352
Ahmedabad,Mumbai,Train,First Class,2854
Hyderabad,Mumbai,Flight,Business,4796
Ahmedabad,Jaipur,Train,AC 3 Tier,1256
Bangalore,Mumbai,Bus,Non AC,8018
Mumbai,Pune,Train,AC 3 Tier,5691
Jaipur,Pune,Flight,Economy,4674
Hyderabad,Pune,Bus,Sleeper,2205
Ahmedabad,Pune,Flight,Economy,749
Kolkata,Delhi,Train,First Class,2366
Chennai,Kolkata,Bus,Sleeper,4242
Ahmedabad,Mumbai,Flight,Economy,809
Chennai,Hyderabad,Flight,Business,5788
Chennai,Ahmedabad,Flight,Business,8557
Delhi,Chennai,Flight,Business,6174
Chennai,Jaipur,Flight,Business,5249
Lucknow,Kolkata,Flight,Business,6141
Mumbai,Hyderabad,Flight,Economy,7808
Hyderabad,Jaipur,Train,Sleeper,600
Ahmedabad,Delhi,Flight,Business,6556
Kolkata,Pune,Bus,Non AC,2881
Ahmedabad,Pune,Flight,Economy,8116
Mumbai,Bangalore,Train,First Class,1065
Chennai,Pune,Bus,Sleeper,610
Bangalore,Lucknow,Train,AC 2 Tier,9272
Chennai,Ahmedabad,Train,AC 3 Tier,1924
Bangalore,Chennai,Train,Sleeper,9759
Hyderabad,Pune,Bus,Non AC,4930
Jaipur,Pune,Flight,Economy,878
Delhi,Jaipur,Bus,Non AC,1941
Chennai,Jaipur,Flight,Economy,6680
Jaipur,Mumbai,Flight,Economy,7103
Chennai,Kolkata,Train,AC 2 Tier,6545
Chennai,Jaipur,Flight,Business,1968
Lucknow,Jaipur,Bus,Sleeper,5460
Mumbai,Ahmedabad,Bus,AC,9484
Ahmedabad,Chennai,Flight,Business,9292
Kolkata,Bangalore,Flight,Business,6745
Hyderabad,Jaipur,Bus,AC,1931
Jaipur,Pune,Flight,Economy,2266
Jaipur,Chennai,Flight,Economy,3646
Jaipur,Chennai,Flight,Economy,5405
Jaipur,Pune,Train,First Class,1599
Hyderabad,Pune,Bus,Sleeper,2478
Hyderabad,Jaipur,Flight,Business,1328
Chennai,Ahmedabad,Bus,Non AC,7437
Bangalore,Delhi,Train,AC 2 Tier,9167
Jaipur,Pune,Train,Sleeper,5190
Kolkata,Jaipur,Train,AC 3 Tier,5715
Bangalore,Kolkata,Flight,Economy,968
Kolkata,Delhi,Bus,Sleeper,2841
Pune,Mumbai,Flight,Economy,5398
Pune,Chennai,Train,Sleeper,3459
Bangalore,Mumbai,Flight,Economy,1602
Mumbai,Hyderabad,Bus,AC,1361
Pune,Hyderabad,Bus,Sleeper,6140
Kolkata,Hyderabad,Bus,AC,1851
Chennai,Lucknow,Flight,Economy,1895
Jaipur,Lucknow,Flight,Business,5401
Kolkata,Mumbai,Bus,Non AC,4840
Jaipur,Mumbai,Flight,Business,2824
Kolkata,Lucknow,Bus,Sleeper,7065
Kolkata,Ahmedabad,Bus,Non AC,9342
Delhi,Kolkata,Train,AC 3 Tier,1582
Hyderabad,Mumbai,Train,Sleeper,2018
Lucknow,Jaipur,Bus,AC,7855
Jaipur,Lucknow,Bus,AC,2583
Jaipur,Hyderabad,Bus,Non AC,1077
Hyderabad,Delhi,Train,AC 3 Tier,1913
Pune,Hyderabad,Train,AC 2 Tier,1476
Pune,Chennai,Flight,Economy,1495
Delhi,Ahmedabad,Bus,AC,6222
Lucknow,Mumbai,Train,Sleeper,8097
Bangalore,Pune,Flight,Business,1512
Chennai,Ahmedabad,Flight,Business,7004
Chennai,Ahmedabad,Flight,Economy,7649
Lucknow,Pune,Train,AC 3 Tier,3986
Lucknow,Pune,Flight,Economy,4235
Bangalore,Lucknow,Bus,Sleeper,1872
Pune,Lucknow,Train,AC 3 Tier,7416
Chennai,Jaipur,Flight,Business,1877
Chennai,Delhi,Flight,Economy,8156
Ahmedabad,Kolkata,Flight,Economy,6450
Mumbai,Kolkata,Bus,Non AC,8019
Jaipur,Pune,Flight,Business,8621
Lucknow,Mumbai,Train,AC 3 Tier,9423
Lucknow,Jaipur,Train,First Class,3434
Hyderabad,Kolkata,Bus,AC,9364
Lucknow,Chennai,Train,First Class,832
Ahmedabad,Bangalore,Train,AC 3 Tier,7026
Kolkata,Ahmedabad,Bus,Sleeper,8166
Bangalore,Pune,Train,Sleeper,1159
Delhi,Chennai,Bus,Non AC,6331
Kolkata,Hyderabad,Flight,Economy,4177
Mumbai,Bangalore,Train,Sleeper,544
Chennai,Bangalore,Flight,Business,1092
Kolkata,Mumbai,Flight,Economy,6373
Chennai,Jaipur,Flight,Business,7135
Bangalore,Lucknow,Bus,Sleeper,2687
Mumbai,Delhi,Bus,AC,6258
Delhi,Lucknow,Flight,Economy,5719
Bangalore,Ahmedabad,Flight,Business,9684
Bangalore,Ahmedabad,Train,Sleeper,9960
Pune,Delhi,Bus,Sleeper,2861
Mumbai,Lucknow,Flight,Business,8103
Lucknow,Delhi,Flight,Business,9329
Ahmedabad,Lucknow,Train,AC 3 Tier,6888
Chennai,Delhi,Bus,Non AC,7138
Hyderabad,Kolkata,Flight,Business,1435
Delhi,Mumbai,Bus,Non AC,7756
Mumbai,Chennai,Train,AC 2 Tier,8014
Ahmedabad,Kolkata,Bus,AC,565
Lucknow,Chennai,Flight,Economy,6144
Kolkata,Lucknow,Flight,Economy,7739
Ahmedabad,Hyderabad,Train,AC 3 Tier,7367
Ahmedabad,Bangalore,Flight,Economy,1342
Mumbai,Hyderabad,Flight,Economy,1304
Hyderabad,Mumbai,Train,AC 3 Tier,1033
Pune,Ahmedabad,Train,Sleeper,4869
Jaipur,Kolkata,Train,Sleeper,976
Ahmedabad,Jaipur,Flight,Business,1318
Bangalore,Kolkata,Bus,Non AC,6683
Ahmedabad,Chennai,Flight,Business,3300
Delhi,Bangalore,Train,First Class,5789
Hyderabad,Mumbai,Flight,Business,1148
Chennai,Lucknow,Bus,Non AC,3215
Hyderabad,Chennai,Bus,AC,9057
Mumbai,Kolkata,Bus,AC,5777
Bangalore,Kolkata,Flight,Economy,7377
Jaipur,Bangalore,Flight,Economy,7681
Bangalore,Pune,Flight,Business,8144
Chennai,Pune,Flight,Economy,1669
Delhi,Lucknow,Bus,AC,8048
Pune,Mumbai,Flight,Economy,2442
Kolkata,Lucknow,Train,Sleeper,4930
Pune,Chennai,Train,Sleeper,7551
Jaipur,Ahmedabad,Flight,Business,1167
Bangalore,Mumbai,Train,First Class,979
Delhi,Mumbai,Flight,Economy,517
Mumbai,Delhi,Train,First Class,1640
Delhi,Kolkata,Flight,Business,7625
Pune,Jaipur,Flight,Economy,2683
Mumbai,Jaipur,Train,Sleeper,3784
Chennai,Pune,Bus,Sleeper,3501
Jaipur,Pune,Bus,Non AC,1123
Pune,Chennai,Flight,Economy,957
Ahmedabad,Pune,Bus,Sleeper,8571
Chennai,Mumbai,Train,AC 3 Tier,8625
Hyderabad,Mumbai,Bus,AC,3090
Kolkata,Jaipur,Bus,Non AC,8338
Mumbai,Lucknow,Bus,Non AC,9282
Ahmedabad,Kolkata,Bus,AC,5980
Chennai,Bangalore,Train,AC 3 Tier,518
Bangalore,Ahmedabad,Train,AC 2 Tier,5650
Chennai,Mumbai,Train,AC 2 Tier,9620
Chennai,Hyderabad,Flight,Economy,8347
Ahmedabad,Delhi,Flight,Economy,6551
Hyderabad,Ahmedabad,Flight,Economy,5494
Mumbai,Ahmedabad,Bus,AC,2360
Delhi,Lucknow,Flight,Economy,7626
Lucknow,Mumbai,Train,First Class,8251
Delhi,Lucknow,Flight,Economy,7841
Mumbai,Delhi,Flight,Business,5608
Lucknow,Ahmedabad,Train,First Class,7660
Jaipur,Mumbai,Train,AC 3 Tier,8309
Kolkata,Chennai,Train,AC 3 Tier,6913
Chennai,Jaipur,Flight,Economy,9718
Jaipur,Ahmedabad,Bus,Non AC,1635
Jaipur,Lucknow,Bus,AC,5474
Kolkata,Ahmedabad,Flight,Business,8005
Hyderabad,Ahmedabad,Train,First Class,4111
Kolkata,Delhi,Bus,AC,1577
Mumbai,Lucknow,Train,First Class,5832
Jaipur,Hyderabad,Train,First Class,8802
Delhi,Kolkata,Bus,Non AC,7151
Pune,Bangalore,Train,Sleeper,8258
Delhi,Mumbai,Flight,Economy,1530
Jaipur,Delhi,Flight,Economy,3644
Hyderabad,Bangalore,Flight,Economy,10000
Pune,Hyderabad,Flight,Business,8195
Mumbai,Bangalore,Flight,Business,6955
Mumbai,Kolkata,Bus,Non AC,5059
Lucknow,Ahmedabad,Train,First Class,8817
Delhi,Jaipur,Train,AC 2 Tier,2315
Mumbai,Hyderabad,Train,First Class,7470
Pune,Chennai,Train,Sleeper,8987
Bangalore,Lucknow,Flight,Economy,1353
Kolkata,Chennai,Bus,AC,5353
Jaipur,Lucknow,Bus,AC,7710
Bangalore,Kolkata,Flight,Economy,779
Jaipur,Delhi,Flight,Economy,7092
Pune,Hyderabad,Bus,AC,9437
Kolkata,Bangalore,Bus,Sleeper,4771
Mumbai,Jaipur,Bus,Sleeper,1656
Jaipur,Lucknow,Flight,Economy,7759
Hyderabad,Lucknow,Flight,Business,6942
Kolkata,Jaipur,Bus,AC,6401
Kolkata,Jaipur,Train,AC 2 Tier,8758
Mumbai,Ahmedabad,Bus,Sleeper,6815
Lucknow,Kolkata,Flight,Business,799
Hyderabad,Mumbai,Bus,Non AC,3496
Kolkata,Jaipur,Bus,Non AC,3796
Jaipur,Lucknow,Train,First Class,7947
Mumbai,Hyderabad,Flight,Business,7693
Jaipur,Mumbai,Flight,Business,8348
Ahmedabad,Bangalore,Flight,Business,7886
Lucknow,Kolkata,Flight,Business,6063
Kolkata,Bangalore,Flight,Business,4134
Pune,Kolkata,Flight,Business,1391
Hyderabad,Bangalore,Bus,AC,3178
Hyderabad,Lucknow,Flight,Economy,3966
Kolkata,Delhi,Bus,Sleeper,6334
Hyderabad,Mumbai,Train,Sleeper,8486
Ahmedabad,Pune,Bus,Sleeper,6307
Pune,Delhi,Bus,Non AC,4098
Lucknow,Delhi,Flight,Economy,9497
Delhi,Pune,Train,Sleeper,2795
Chennai,Mumbai,Flight,Business,7931
Ahmedabad,Delhi,Train,AC 2 Tier,8968
Hyderabad,Chennai,Bus,Sleeper,8211
Mumbai,Lucknow,Bus,AC,1622
Kolkata,Jaipur,Train,First Class,4487
Jaipur,Hyderabad,Bus,Non AC,5693
Jaipur,Ahmedabad,Train,AC 3 Tier,2813
Pune,Delhi,Train,AC 2 Tier,5494
Jaipur,Chennai,Flight,Business,5852
Bangalore,Delhi,Bus,Non AC,3200
Lucknow,Kolkata,Train,First Class,8728
Jaipur,Bangalore,Flight,Economy,9469
Pune,Kolkata,Bus,Non AC,1397
Delhi,Ahmedabad,Train,Sleeper,1409
Mumbai,Lucknow,Bus,AC,6830
Kolkata,Bangalore,Bus,Non AC,2079
Kolkata,Lucknow,Flight,Business,5995
Lucknow,Delhi,Flight,Economy,7907
Hyderabad,Pune,Train,Sleeper,5056
Hyderabad,Delhi,Flight,Economy,3818
Mumbai,Delhi,Train,First Class,5511
Kolkata,Bangalore,Flight,Economy,2099
Chennai,Bangalore,Train,AC 2 Tier,9007
Pune,Jaipur,Flight,Business,1345
Chennai,Ahmedabad,Train,Sleeper,5718
Chennai,Bangalore,Bus,Sleeper,4740
Delhi,Kolkata,Bus,Sleeper,2807
Ahmedabad,Kolkata,Flight,Business,8322
Bangalore,Kolkata,Train,AC 3 Tier,8424
Kolkata,Lucknow,Flight,Economy,757
Bangalore,Pune,Flight,Business,2027
Lucknow,Jaipur,Bus,Non AC,2645
Ahmedabad,Kolkata,Flight,Economy,7582
Chennai,Hyderabad,Flight,Business,4400
Hyderabad,Chennai,Bus,Sleeper,2417
Kolkata,Jaipur,Bus,AC,7838
Ahmedabad,Delhi,Bus,Non AC,8896
Kolkata,Hyderabad,Bus,Sleeper,7218
Ahmedabad,Pune,Train,AC 2 Tier,5643
Pune,Kolkata,Bus,AC,8255
Lucknow,Mumbai,Flight,Economy,6656
Hyderabad,Ahmedabad,Train,Sleeper,9741
Chennai,Hyderabad,Bus,Sleeper,4531
Kolkata,Lucknow,Flight,Economy,8477
Pune,Chennai,Flight,Economy,1472
Delhi,Jaipur,Flight,Business,4852
Hyderabad,Pune,Flight,Economy,9658
Ahmedabad,Mumbai,Train,First Class,1776
Bangalore,Kolkata,Bus,AC,5240
Jaipur,Pune,Train,Sleeper,9764
Delhi,Hyderabad,Bus,Sleeper,3849
Chennai,Pune,Train,Sleeper,8667
Lucknow,Hyderabad,Bus,Non AC,8437
Pune,Mumbai,Flight,Business,1947
Ahmedabad,Pune,Flight,Economy,7043
Pune,Chennai,Bus,Non AC,3596
Kolkata,Pune,Train,AC 2 Tier,9120
Pune,Kolkata,Bus,Sleeper,8883
Mumbai,Lucknow,Flight,Business,3834
Delhi,Chennai,Bus,AC,7515
Pune,Bangalore,Flight,Business,2789
Mumbai,Chennai,Flight,Economy,4188
Kolkata,Jaipur,Flight,Economy,7493
Bangalore,Mumbai,Flight,Economy,9854
Chennai,Mumbai,Flight,Business,9061
Kolkata,Jaipur,Bus,Non AC,4448
Jaipur,Kolkata,Train,Sleeper,4865
Pune,Jaipur,Bus,AC,7660
Mumbai,Chennai,Bus,AC,3194
Jaipur,Ahmedabad,Flight,Business,4545
Hyderabad,Kolkata,Train,AC 2 Tier,2134
Ahmedabad,Pune,Train,AC 3 Tier,2821
Mumbai,Jaipur,Train,Sleeper,9350
Bangalore,Hyderabad,Flight,Business,4793
Bangalore,Jaipur,Flight,Economy,6591
Mumbai,Jaipur,Flight,Business,2431
Lucknow,Jaipur,Flight,Business,7279
Pune,Mumbai,Bus,Non AC,8356
Delhi,Chennai,Train,First Class,2629
Lucknow,Ahmedabad,Bus,AC,777
Ahmedabad,Mumbai,Train,First Class,4856
Bangalore,Jaipur,Flight,Business,1341
Pune,Lucknow,Bus,Sleeper,1595
